難易度	曲名	ソフラン	敷譜面	交差譜面	定数	BPM	演奏時間	楽曲情報
29	Ready Steady	×	×	×	29.4	115	01:28.2	何気に元祖「フリック直後にタップが置いてある」譜面だったりする。意識しないと抜けていく
29	シネマ	×	×	×	29.4	124	01:38.7	幽霊東京とBPM同じなのなんかいい(？)。想定運指が謎すぎてゴリ押しの方が早いかも
29	Flyway	×	×	×	29.4	190	02:06.3	ハネリズム練習譜面、と思いきや、ほぼ消失と同様の配置がある。同時押し意識が吉
29	あったかいと	×	×	×	29.4	178	02:26.5	シンプルめな地力譜面。16分からの同時押しや小粒配置がちらほらといった感じ。神曲
29	マシュマリー	×	×	×	29.4	182	02:08.9	曲が神！！！！！譜面に関しては基本的に叩きやすいリズムだがピアノ12分地帯が少し難しいか
29	天ノ弱	×	×	×	29.4	200-205	01:45.4	32をぶっちゃけ想定していたがこの難易度に落ち着いたらしい。あんまり音取られてなくて悲しい
29	ODDS&ENDS	×	×	×	29.4	192	01:27.5	当時割と謎な昇格だと思っていたが、さらに下回る29が増えてきてラストのラッシュがむずく感じる...
29	Leia - Remind	×	×	×	29.4	190	02:01.1	BPM285の16分7打含むイントロが結局最大の脅威。イントロを切り抜ければまあまあラクでもある
29	アスノヨゾラ哨戒班	×	×	×	29.4	185	02:04.5	28にはこの手の乱打譜面がなかったが、29にはありふれており思ったより定数が伸びなかった
29	drop pop candy	×	×	×	29.4	130	01:43.2	全体を通して認識難であり、サビのロング終点も厄介。ここまで難しくできるんだなぁ
29	名も無き革命	×	×	×	29.4	185	01:55.5	基本的な配置が多く詰めるのに苦はなさそう。拍子がコロコロ変わるのでノりづらいところはある
29	needLe	×	×	×	29.4	190	01:50.7	イントロの譜面が某卵ゲーのなんちゃらing Blなんちゃらにしか見えなくなった助けて
29	雨とペトラ	×	×	×	29.4	195	02:00.2	シンプルに速く地力が試される譜面。ギター地帯のカクカクスライドは放置でOK！
29	DREAM PLACE	×	×	×	29.4	136	02:15.9	指押しのいい練習になりそうな譜面。ラストの不自然に膨らんでいるスライドの意図とは...
29	p.h.	×	×	×	29.3	132	01:45.5	階段状認識難を交互押しで取る練習になる譜面。あと譜面作成者は付点16分をそろそろ学習して...
29	FREELY TOMORROW	×	×	×	29.3	129	02:11.5	腐食は苦手だがみんな得意らしい。地力地帯が複数存在し、指押しの練習にはぴったり！
29	ルカルカ★ナイトフィーバー	×	×	×	29.3	160	02:10.3	待望の曲。素直めな配置も多いが4鍵が混じってくる場合もあるため把握をしておくこと
29	セカイはまだ始まってすらいない	×	×	×	29.3	138	01:54.8	29の中では5鍵以外易しい譜面。永遠の29.0だと思ってたのに少し出世したねぇ...
29	ブレス・ユア・ブレス	×	×	交差譜面	29.3	152	01:29.8	24分多。スライド始点擬きのタップがスライドに重なっていないのは時代を感じるが、修正を強く希望
29	サンドリヨン 10th Anniversary	×	×	×	29.3	147	01:43.1	チャレラ効率曲(ヒバナAPDに先を越された)だがこの譜面を捌くにおいてもかなりスキルが必要
29	Journey	×	×	×	29.3	128	02:42.2	フル尺なので当然長い。ロングノーツの終点をしっかり意識しよう。ラストの視認難黄色同時も注意
29	Beat Eater	×	×	×	29.3	137	01:34.6	28の中でもかなり忙しかった譜面が昇格。12分同時ラッシュや24分3鍵が脅威
29	Blue Star	×	×	×	29.3	132	02:23.6	最も「豹変」という言葉が似合う譜面。ラスサビだけ他と比べて圧倒的に難しく対応力が求められる
29	とても素敵な六月でした	×	×	×	29.3	210	02:28.6	16分音符こそ少ないが大体同時押しがついている。8分音符が刻めればそこまで問題ではない
29	まにまに	×	×	×	29.3	174	01:47.2	序盤の不親切な黄色トレース誘導線はすぐ離そう。4kや縦連など地力配置が多め
29	アイドル新鋭隊	×	×	×	29.3	176	01:37.8	相当前の話だけど公式の広告で男性陣でMV再生してて面白かったお話。3連フリックが難しい
29	ビバハピ	×	×	×	29.3	148	01:21.7	その短さにも関わらず現在はある程度難しい評価だが、これでも昔は28でも簡単な方だった...
29	阿吽のビーツ	×	×	×	29.3	103	02:11.5	29の中ではまだ忙しくないハネリズムなのであまり定数が伸びない。スライドが思ったよりサボれる
29	ワーワーワールド	×	×	×	29.2	160	01:42.6	ほぼ3年越しに32分4打×2が24分に修正され、大幅にラクになった。ただ難しいところは結局難しい
29	ドラマツルギー	×	×	×	29.2	149	01:30.0	BPM149なのにちょうど90秒っていう計算結果を吐いたせいで目に映ったものを疑った
29	Nostalogic	×	×	×	29.2	140	01:48.0	ラスサビが難しい。しれっと最後に24分からの両手置くのやめてもらっていいですか
29	Miku	×	×	×	29.2	128	02:31.2	最難関譜面にも見られるような認識難配置が見られる。BPMが控えめなためこれで練習しておきたい
29	メルト	×	×	×	29.2	170	02:57.4	最後の縦連ガチで難しすぎる。プロセカ史上最も心臓に悪いといっても過言ではない
29	神っぽいな	ソフラン	敷譜面	交差譜面	29.2	142	02:24.9	キラピピ以来のギミックコンプ譜面。交差を嫌うなら終点フリックしてない指で始点を取ろう
29	Cool Me Down	×	×	×	29.2	174	02:22.1	3点押しにも見える異質な配置や重なって見える始点など特徴が多い。曲が、良すぎる
29	カトラリー	×	×	×	29.1	108	01:48.7	声ネタの部分やサビ前に16分音符が存在するハネリズム譜面。誘導のない認識難が難しい
29	リモコン	×	×	×	29.1	165	02:07.8	12分割ノーツがあまりにも多すぎる！特に→の始点は少し認識しづらいため注意。他は素直
29	ロキ	×	×	×	29.1	150	01:42.0	24分からの同時(片方フリック)にこの譜面の全ての難しさが込められてると言っても過言ではない
29	potatoになっていく	×	×	×	29.1	116	01:44.9	最近のトレンドである認識難のいい練習譜面といえる。完全交互運指を推奨
29	ワールドイズマイン	×	×	×	29.1	100-165	02:48.7	元27で最近まで28だった譜面がさらに昇格。とろけるプリン以外難所の量が微妙で、正直謎
29	39	×	×	×	29.0	175	02:18.7	これまた3月9日に追加。ラスサビ前のスライドギミックが印象的。最後の小粒4kはバカムズい
29	はぐ	×	×	×	29.0	120	02:04.2	低速ハネにしては認識難がほとんどなく非常に素直。プロセカで一番いい曲と俺の中で話題
29	NEO	ソフラン	×	×	29.0	190	01:55.1	新要素がかなりふんだんに使われているので慣れよう。記念楽曲ということで29の中ではやりやすい
29	UNDERWATER	×	×	×	29.0	145	02:25.2	縦連地帯→2連縦連連続地帯が本当にビックリポイント。あとは油断しなければどうにかなる
29	悪食娘コンチータ	×	×	×	29.0	160	01:34.7	短い上譜面の誘導がしっかりしており、悪ノシリーズ屈指の良譜面となっている
28	帝国少女	×	×	×	28.9	118	02:25.4	曲をしっかり聴き込み、どこが32分、どこが16分なのかを理解することがAPへの近道
28	ココロ	×	×	×	28.9	110-140	02:17.1	編曲が残念ランキング断トツの1位。32分音符が速すぎるが、入り手で16分3連打をするイメージ
28	トリコロージュ	×	×	×	28.8	130	02:00.5	個人的最難関はサビ直前の3連符絡みのリズム。それ以外にも運指を組んでおきたい配置も多め
28	Peaky Peaky	×	×	×	28.8	132	01:36.8	曲名が完全に○4D○なのよ......譜面のクセがかなり強い。動かさなくていい曲線スライドも点在
28	トラフィック・ジャム	×	×	×	28.8	130	02:03.7	何があって収録が遅れたのか...ジャンキーの劣化や短ホールドが多いなど交通渋滞並の複雑さ
28	アイロニ	×	×	×	28.7	90	02:19.0	28最低基本BPMを更新したが、ふんだんに24分の難配置が盛り込まれており厄介
28	天使の翼。	×	×	×	28.7	125	02:45.7	曲がかなり長い上癖の強い配置が多くそれぞれに対応できないと苦しい。実は自○の曲である...
28	我らステインバスターズ！	×	×	×	28.7	125	01:41.8	28にしてこのBPMのハネリズムはシンプルに物量が多い。ただ同時押しや認識難は少なめ
28	ガランド	×	×	×	28.7	93	02:05.8	16分と24分混在させるのやめろ...低速な割に中継点が多くロングノーツをサボり辛いのも厄介
28	ワールドワイドワンダー	×	×	×	28.7	142	01:31.1	このBPMで多くの地力配置が降ってくるので、指押しの練習にはかなり適している
28	Forward	×	×	×	28.7	140	01:47.5	認識難が過ぎて目で見ただけではなかなか捌き切るのが厳しい。運指を決めるが吉
28	愛して愛して愛して	×	×	×	28.6	115	02:04.7	メンヘラ代表。このBPMの24分の速さが絶妙に崩されやすい。グチャグチャスライドで休憩が可能
28	トキヲ・ファンカ	×	×	×	28.6	96-120	01:43.0	譜面がシンプルに楽しい。リズム面ではかなりの難しさを誇る。ラストはフリックのリズムを意識
28	アイディスマイル	×	×	×	28.6	171	02:10.4	たまに混じる3拍子、視認難、分かりづらい方向指定フリックなど厄介要素が多め
28	フラジール	×	×	×	28.6	127	02:00.7	28だ28だと言われ続けついに、それも28.6にまで昇格。終点が苦手だとなおさら苦しい譜面
28	Change me	×	×	×	28.6	135	02:22.0	サビ前の局所難やラスサビのくの字など厄介配置を備えている。演出がよい
28	命ばっかり	×	×	×	28.6	128	02:07.7	譜面としてあまりにも完成度が高い。終盤に難しいポイントが盛り込まれている印象
28	ヒビカセ	×	×	×	28.6	140	01:51.0	同時押しが絡む配置が多くシンプルに地力が要る。割とちょうどいい難しさの局所難も
28	ジウダス	×	×	×	28.6	198	01:37.0	BPMが何故倍取りなのか...短スライド終点がかなり厄介なので掴む必要がある
28	威風堂々	×	×	×	28.6	130	02:20.0	このゲーム史上最高にエロい。サビに某アークノーツゲーの黒兎感あるスライドある
28	ミライ	×	×	×	28.5	138	02:32.0	サビ前の突然の24分入り乱打にやられた人も多いのでは。長い！！！！！！！
28	心予報	×	×	×	28.5	143	02:08.8	全体的に少しコシのある配置を散りばめた感じの譜面。Eve曲って似通ったリズムが多いよな
28	こちら、幸福安心委員会です。	×	×	×	28.5	128	02:23.1	初音天地開闢神話御用達の交差スライドが存在する。因みに真ん中押さえて端をタップすれば通る
28	僕らまだアンダーグラウンド	×	×	×	28.5	148	01:58.4	前半がちょっと忙しいといった感じの譜面。最後のロングノーツが長く無反応が怖すぎる
28	Un-Lock	×	×	×	28.5	130	02:11.1	地力主体の譜面だが、後半などの癖の強い配置や、24分32分には注意を払う必要がある
28	乙女解剖	×	×	×	28.5	134	01:47.9	なかなかのゴリ押し力が求められる譜面となっている。曲に合わせた12分にも注意
28	Color of Drops	×	×	×	28.5	152	01:47.8	局所リズム難。片手だけで何個もの8分音符を叩かせてくるのでゲシュタルト崩壊注意
28	1925	×	×	×	28.5	145	02:13.7	あえて2番を収録しているのにこだわりポイントを感じる。間奏地帯は基本交互ではないぞ
28	ボトルケーキ	×	×	×	28.5	107	01:49.2	曲全体を通して160/9分ハネというバケモンリズムが搭載されている。何も考えずに16分処理が丸い
28	去り人達のワルツ	×	×	×	28.5	178	01:36.1	アウトロのいかにも難しくしました感がえげつないがそれ以外は比較的素直。短いので詰めやすい
28	陽だまりのセツナ	×	×	×	28.5	217	01:51.4	難易度28の最速BPMを更新。見掛け倒しだが落ち着けば意外と取れる配置が多い
28	purpose	×	敷譜面	×	28.5	130	01:41.0	リズムが難しめで24分3鍵が降ってきたりと要求地力が高め。ほんの少しロングにタップが被っている
28	みくみくにしてあげる♪【してやんよ】	×	×	×	28.5	160	01:37.3	3月9日に追加という運営の愛。ネギ縦連と緑タップに注意しよう(定数は要するに28.4程)
28	パレットには君がいっぱい	×	×	×	28.5	120	02:06.0	サビの認識難配置をちゃんと2-2で取れるかがこの譜面の一番重要なポイントとなる
28	ひつじがいっぴき	×	×	×	28.5	200	02:05.5	スライドがかなりド派手な譜面。BPMこそ速いがしんどい16分こそ少ない
28	踊れオーケストラ	×	×	×	28.4	180	01:46.0	クセがそこまでなく純粋に楽しめる譜面。直感に反する方向指定フリックなどに注意しよう
28	どんな結末がお望みだい？	×	×	交差譜面	28.4	190	01:31.1	短く詰めやすい譜面であり、目立った難所も少なめ。スライドのギミックは左手を遅めに離すように
28	豚になってyeah yeah	×	×	×	28.4	115	01:56.4	potatoと曲調が似ておりBPMも1しか違わない。やりやすい方の認識難が多めなので練習に良い
28	CR詠ZY	×	×	×	28.4	122	01:38.2	協力ライブにおけるバグがあまりにもインパクトが強い。序盤の5kや終盤の高密度トレースが印象的
28	ストロボラスト	×	×	×	28.4	120	02:07.5	全体的に小粒が多い。サビ後半から急に難しくなるため十分に指を慣らそう
28	"Hello, Worker"	×	×	×	28.4	168	01:36.6	基本的な16分→同時の配置が多くいい練習になる。曲が短いのも◎
28	いーあるふぁんくらぶ	×	×	×	28.4	145	01:58.6	全体的にクセが少なく素直で楽しく叩ける。最初の始点が2拍目の32分音符3個後らしい...
28	Just Be Friends	×	×	×	28.4	128	02:05.2	涙スライドの始点が1920分1個分ズレており、おそらく2連打で最高密度を誇る配置となってしまった
28	ウミユリ海底譚	×	×	×	28.4	120	01:39.5	5鍵は4つだけ交互で取る(例:右左右左左)を推奨してます。サビのフリックもかなり難しい
28	ロミオとシンデレラ	×	×	×	28.4	170	01:48.5	曲の編集下手くそ選手権第2位(1位はウミユリ)。キャラメルが仕様変更でかなり取りやすくなった
28	恋愛裁判	×	×	×	28.4	134	02:07.6	細いスライドだったりサビ間の間奏の終点+認識難だったりが難所。これは「有罪」
28	39みゅーじっく！	×	×	×	28.4	130	01:50.8	Sharing The Worldやその他新曲が簡単なせいで定数が動いた。今日から28.309に
28	心拍ペアリング	×	×	×	28.4	134	01:20.6	曲こそ短いが、32分が紛れていたり2連打が必要だったりと要求地力は高め
28	円尾坂の仕立屋	×	×	×	28.4	180	01:53.0	傾向としては去り人に似ているが、16分→同時押しのフリックの場所が親切になっている
28	パラジクロロベンゼン	×	×	×	28.4	120-125	02:09.8	少し認識が難しい配置の練習にどうぞ。譜面がない部分だけ内部的にBPM124だったりする
28	ハッピーシンセサイザ	×	×	×	28.4	127	02:04.7	ラスサビ前に関しては裏6分が存在する赤譜面のほうがムズいと思う。全体的に素直だが縦連注意
28	とても痛い痛がりたい	×	×	×	28.4	140	01:49.3	極論ただのトリルが多い譜面。2-2で取る配置や縦連などもしっかり処理するのが求められる
28	夜もすがら君想ふ	×	×	×	28.3	148	02:20.9	3鍵がサビに頻発するが、それに気をつければ難しい配置は少ない。あと神曲
28	サマータイムレコード	×	敷譜面	×	28.3	178	02:24.3	ロングノーツが主体となっているタイプの譜面。終点がロングに重なってるのつい最近知った...
28	ラッキー☆オーブ	×	×	×	28.3	126	01:53.8	BPMは遅いが非交互配置などクセの強い配置が多め。ロングノーツの中継点も多いが落ち着くべし
28	フロムトーキョー	×	×	×	28.3	130	01:30.0	音ゲー用にリズムを難しくしたのかってくらいの曲をしている。ライブではペンライトが一番振り辛い
28	うっせぇわ	×	×	×	28.3	178	02:11.1	曲の割に純粋に素直な良譜面で笑みが溢れてしまった。もう少しうるさい譜面が欲しかったな
28	星を繋ぐ	×	敷譜面	交差譜面	28.3	174	01:33.5	28の中では異例の、スライドの中にノーツがある譜面。スライドの中の黄色タップが持ち替えの目印
28	悪徳のジャッジメント	×	×	×	28.3	140	02:04.3	16分音符の最初に同時押しがある配置が特徴。これを掴めばあとは結構素直
28	Hand in Hand	×	×	×	28.3	128	02:00.0	短ホールドが多く、意識しないと崩れてしまう。なぜどりーみんチュチュが維持でこれが昇格...?
28	ツギハギスタッカート	×	×	×	28.3	139	01:58.1	小粒はこのレベル帯だとまあまあよくあるためこの定数に落ち着く。依然クセ配置は難しい
28	Dear	×	敷譜面	×	28.3	135	02:24.9	たまに来る縦連配置には気を付けるべし。真ん中で持ち替えるトレースやロングノーツも特徴的
28	シャルル	×	×	×	28.2	145	01:38.9	この曲は音ゲーに入ると絶対12分縦連が飛んでくる運命なのか...24分も注意
28	ワンスアポンアドリーム	×	×	×	28.2	132	01:45.2	長らく唯一の12分割フリック持ちの譜面だった。典型的な「昔の認識難」なので運指を固めよう
28	絶え間なく藍色	×	×	×	28.2	125	02:19.7	5鍵や24分、ホールドの連続など明確な難所はあるが、運指を固めれば27中位くらいに感じる
28	Beyond the way	×	×	×	28.2	125	01:50.9	曲がバチクソにカッコイイ。少し32分音符が含まれていて骨はある。スライドはサボろう
28	演劇	×	×	×	28.2	176	02:02.0	なぜBPMが速いのかシリーズ。16分がちらほらあるが配置自体は素直なので落ち着こう
28	仮死化	×	×	×	28.2	184	02:07.8	ところどころアクセントのある配置もあるがスライドがメイン。交差部分はそんなに意識しなくてOK
28	Q	×	×	×	28.2	116-120	02:04.0	最初だけBPMが116なのをつい最近知りました。終点フリックに気をつければ難しくない
28	Wonder Style	×	×	×	28.1	128	02:11.5	中盤の微認識難配置や小粒などが少し面倒。24分もう少し置いて本気譜面にしてほしかったかも
28	Highlight	×	×	×	28.1	130	01:31.4	圧倒的に厄介なのは直感に反する方向指定。認識難のいい練習譜面としてpotatoよりも活用可能
28	太陽系デスコ	×	×	×	28.0	150	02:19.6	スライド楽゛し゛い゛ぃぃぃ゛ぃ゛い゛いいい！！！！！！！！！！！！！な譜面。意外と抜けない
27	幽霊東京	×	×	×	27.9	124	02:07.7	スライドの色が入れ替わるところが初見のインパクト強い。ゴリ押し系統の譜面なのでしんどい
27	どりーみんチュチュ	×	×	×	27.8	128	02:14.5	曲がとてもカワイイが長い。なかなかの終点ゲーミングをかましてくるので意識しよう
27	青色絵具	×	×	×	27.7	126	02:31.9	長いしアウトロがマジモンのむずさ。謎の24分を入れてさらに12分割ノーツ3連。本当に27？
27	セカイ	×	×	×	27.7	133	01:46.5	リズム難や地力の求められる24分といった難要素があり元26組の中では難しい
27	からくりピエロ	×	×	×	27.7	102	02:15.3	案の定回っていくスライド。中継点に意識を向けることで抜けを防げる。ハネリズムなのも難しい
27	千年の独奏歌	×	×	×	27.6	108	02:24.2	32分→同時フリック、この譜面が初説ない？長い局所難ということで沼ると苦しい
27	Blessing	×	×	×	27.6	110	02:08.7	これノーツの色で6人それぞれを表してる説ないかな。アイムマインに引用があるの最高にエモい
27	スイートマジック	×	×	×	27.6	123	02:22.2	局所難。1サビとラスサビの間とか最後とか。BPM遅いとはいえゴリ押しが多め
27	愛されなくても君がいる	×	×	×	27.6	150	02:13.4	小粒混じりの乱打が多い譜面。後半に難所が集中している感じ。落ち着いて叩こう
27	アイスドロップ	×	×	×	27.6	158	01:41.0	曲がいい。でも急に終わる感ある。後半随所に現れる16分2打のリズムや同時押しに注意。
27	妄想感傷代償連盟	×	×	×	27.5	110	02:16.9	愛や厭地帯では譜面認識力が試される。どの指から入るかをしっかり見極めて認識難力をつけよう
27	炉心融解	×	×	×	27.5	165	02:00.7	高難易度くるかなぁと思ったが意外と抑え目で配置も素直だった。噛み合った歯車スライド好き
27	青く駆けろ！	×	×	×	27.5	190	01:51.3	片手を長押しさせてもう片方で8分音符を叩かせる配置が多い。主はこういうの苦手
27	from Y to Y	×	×	×	27.5	98	02:32.4	BPMが100を切るハネリズム。サビにはなぜか32分が紛れ込んでいるが気にする必要はない
27	alive	×	×	×	27.5	128	01:52.7	微妙にやりづらい低BPMで16分乱打が多く降ってくる。手の入れ替えが必要な部分も多々
27	メルティランドナイトメア	×	×	×	27.5	140	01:52.8	地力配置が元26の中では格段に多く納得の昇格を果たした。このBPMのくの字は流石にアカン
27	星空のメロディー	×	×	×	27.5	113	01:46.2	寧々の歌声が最高すぎるんじゃ。セリフ地帯は指押しの練習にかなり良い譜面となっている
27	番凩	ソフラン	×	×	27.5	90-128	01:58.3	読み方は「つがいこがらし」。地力配置多めでBPM変化耐性も必要。最後に実は低速ソフランも
27	フロート・プランナー	×	×	×	27.5	138	01:39.8	最序盤の初見殺しスライドが特徴。後半に縦連を含む難所が詰まっている
27	砂の惑星	×	×	×	27.5	95	02:11.1	スライドが置かれている場所のせいでMASTER叩いてるとBPM190に見える。付点16分が健在
27	深海少女	×	×	×	27.5	137	02:18.2	直感に反する始点やラスサビ以降が結構厄介。初手には64分2打が飛んでくる
27	街	×	×	×	27.4	128	01:37.7	イントロの1箇所に謎に32分音符が置いてある。16分音符の入り手がたまにわからなくなる印象
27	ロンリーユニバース	×	×	×	27.4	100	02:16.2	実は唯一の基本BPM100(ワールドイズマインは一部のみ)。曲の雰囲気に従い小粒が多い
27	少女レイ	×	×	×	27.4	150	02:35.2	このゲーム史上一番「死」が直接的に描写されている曲だと思う。カクカクは境界あたりを押そう
27	虚ろを扇ぐ	×	×	×	27.4	124	02:31.9	同時押し24分2打がMASTERに留まらずEXPERTにも存在する。長いので沼ると苦しい
27	タイムマシン	×	×	×	27.4	126	01:57.1	コラボ先に先行収録されるというレアケース。左3連縦連が2回連続でくるのやばいでしょ
27	ハロ／ハワユ	×	×	×	27.4	95	02:17.5	AP難易度だけ死ぬほど高い。セカイVerとの兼ね合いで譜面修正が難しいのかもしれない
27	ニア	×	×	×	27.4	128	01:49.5	BPMも遅くゴリ押しのいい練習譜面って感じ。「ニア」で黄色音符くるのよい
27	イフ	×	×	×	27.4	135	02:04.4	圧倒的、神曲。アウトロ前のフリックの置き方が手拍子を意識させてきて良い。左4連フリックに注意
27	群青讃歌	×	×	×	27.4	168	01:34.3	1年ぶりに「ユニット:その他」の楽曲が追加された話。少しクセのある配置もあるがかなり素直
27	トリノコシティ	×	×	×	27.4	135	01:54.9	全体的に大人しいが終盤の乱打が少々難しい。乱打が苦手な方には練習で使えるかも
27	眠らせ姫からの贈り物	×	×	×	27.4	126	02:01.2	サビ以降絶対BPM252だろ...w アウトロは同時→3連打→同時のいい練習になるぞ
27	心拍数♯0822	×	×	×	27.3	114	01:59.7	脈打つ譜面に見惚れて始点終点のタイミングを逃さぬよう。せっかくなんだから822ノーツにして...
27	ブラック★ロックシューター	×	×	×	27.3	140-165	01:44.3	かなり素直な譜面となっているが16分→同時に注意。最後のスライド初見で持ち替えたのはヒミツ
27	Afterglow	×	×	×	27.3	68.75-183	02:09.1	最低BPMを更新し、初のBPM60台が登場。BPM183地帯は12分4鍵以外は結構素直
27	箱庭のコラル	×	×	×	27.3	138	02:06.7	ラスサビ以降は地力を要する配置が登場するが、それ以外は素直なので安定させよう
27	on the rocks	×	×	×	27.3	150	01:59.8	27の中でも取りやすい配置が多めでやりやすい。韓国版では唯一出禁になっている
27	私は、私達は	×	×	×	27.3	170	01:42.4	基本的には8分音符で構成されているので、リズムを取る練習にはもってこい
27	キラピピ★キラピカ	ソフラン	敷譜面	交差譜面	27.2	160	01:36.8	運営がついに27でも遊びだした。高難易度できないけどギミックを体感したい人にとてもオススメ
27	メランコリック	ソフラン	×	×	27.2	140	02:21.9	やはり曲通りBメロが難しいと言ったところか。例によって序盤の細いロングは動かさなくてOK
27	Sharing The World	×	×	×	27.2	129	02:25.6	少しだけ癖のある配置が存在するが、それでもそれ以外に難所がなくこの定数まで落ちてしまった
27	ダブルラリアット	×	×	×	27.2	138	02:15.7	年齢を重ねるほど良さがわかる曲。間奏地帯とラスサビ後半が難しいが比較的素直め
27	「1」	×	×	×	27.2	145-150	01:35.5	サビ3小節前からのBPM変化と拍子変化が特徴的。局所リズム難なので意識をもとう
27	悪ノ娘	×	×	×	27.1	140	01:25.7	悪ノ召使と全難易度を通してノーツ数が同じという作り込み。クセも少なくスコア効率も高めらしい
27	悪ノ召使	×	×	×	27.1	120	01:30.0	悪ノ娘とノーツ数を揃えるためかロングノーツの終点が多く、BPMも遅いのでしっかり意識が必要
27	On&On	ソフラン	×	×	27.1	126	01:49.2	シャレオツ曲シャレオツ譜面ランキングNo.1。19.2分ハネも非常に特徴的。トレースには注意
27	恋は戦争	×	敷譜面	×	27.0	175	02:19.9	27の中でもBPMは速いが曲調も相まって密度が低い。ド派手なスライドや敷配置も落ち着いて処理を
26	カナデトモスソラ	×	×	×	26.9	158	01:47.1	BPM79より遅い譜面が追加されていく中なぜかコイツはBPM158。26最速になってしまっている
26	それがあなたの幸せとしても	×	×	×	26.8	71-77	02:05.5	32分や48分がたまに現れる字面だけヤバい譜面。最低BPMをAfterglowに抜かれた
26	君の夜をくれ	×	×	×	26.8	80	01:56.3	26で悪魔の踊り方(難易度30)の劣化みたいなことしてくる。48分音符からの同時押しはおそらく唯一
26	ECHO	×	×	×	26.7	140	01:36.0	8分音符までしかない異端な譜面。スライドがかなり多くフリックは抜けがち
26	ノマド	×	×	×	26.7	90	1.28.00	俗に言うゴママヨ配置や中継点の多い細スライドに注意。個人的に48分の音取って欲しかった
26	オーダーメイド	×	×	×	26.6	75	01:58.4	48分3鍵と24分7鍵が存在するという、字面だけ見ればヤバすぎる譜面が爆誕した
26	独りんぼエンヴィー	×	×	×	26.6	132	01:12.7	音ゲー収録曲でここまで短い曲が今まであるのだろうか...と今でも思う。24分がムズい
26	アイノマテリアル	×	×	×	26.6	120	01:57.0	このBPMとはいえ両手フリック+2打の16分3打配置はちょい乱暴。これと方向指定以外は割と素直
26	glow	×	×	×	26.6	85	02:36.0	32分からの同時押しがなかなかに多い骨のある譜面。それ故現行26ではなかなかの立ち位置
26	メリュー	×	×	×	26.5	130	02:16.1	連続フリックの練習曲といったところか。個人的に譜面に解釈一致な部分が多くて好きです
26	トワイライトライト	×	×	×	26.5	88	01:38.4	24分→同時押しの流れが26にしては少し多めでまあまあ忙しい。交差するスライドにも注意
26	ray	×	×	×	26.5	132	02:07.3	神曲すぎる、少しだけ認識難っぽい配置やスライド終点フリックがあるが、素直な配置が多め
26	自傷無色	×	×	×	26.5	120	01:41.5	低速ハネ。局所難って感じ。初めてこの曲を聴いた時の衝撃が忘れられない
26	相生	×	×	×	26.5	140	02:37.3	最近は64分微ズレがトレンドらしい。急な12分には注意。最初から歌詞のスケールがデカい
26	いちにのさんで	×	×	×	26.4	83	02:36.1	再生同様スライドをサボれる部分が非常に多い。暇な人は長押ししない縛りやってみよう
26	泥中に咲く	×	×	×	26.4	85	02:08.8	前半は再生を彷彿とさせる方向指定や小粒の多さが厄介。後半は大きいノーツに惑わされぬよう注意
26	再生	×	×	×	26.4	76	01:37.9	スライドをサボる快感を一番味わいやすい譜面。謎に置かれている方向指定フリックがムズい
26	夜明けと蛍	×	×	×	26.4	80	02:23.3	間奏地帯のリズムが少し難しいが、それ以外は落ち着けば取れる。MASTER入門にもおすすめ
26	エピローグに君はいない	×	×	×	26.3	85	01:49.4	うねうねスライドが多いがBPMが遅い故だいだいサボれる。終点方向指定の練習に
26	インタビュア	×	×	×	26.3	125	02:21.8	「」の再現やスライドの色が変わる演出など、26の譜面の中でもかなり楽しめる譜面
26	メタモリボン	×	×	×	26.3	123	01:39.5	マジで難所という難所がないとか言っていたが、26.0が弱すぎて難所が多く感じる
26	心做し	×	×	×	26.2	84	02:15.4	たまにちょくちょく32分が登場する程度でそこまで癖はない。MASTER入門には割とオススメかも
26	Where shall we go?	×	×	×	26.2	119	01:52.8	BPMが低い上24分が存在しないので、かなりゆったりプレイできるが、終点は厄介
26	アサガオの散る頃に	×	×	×	26.1	85	02:26.8	何気に初のBPM80台の曲。蝉の鳴き声がリズムを壊しにくるんだけどそこどうにかならんかったか...
26	Tell Your World	×	×	×	26.1	150	02:00.0	27最弱組の降格で永遠に動かないと思われていた定数が動いた。これが歴史である...
26	Goodbye	×	×	×	26.0	133	02:02.7	新・MASTER超絶入門曲。特有のクセがあるが、捌く上では何も引っかかる部分がない
26	Copycat	×	×	×	26.0	137	02:00.7	Goodbyeよりは後半に骨があるがこちらも基本厄介でない配置が飛んでくる。AP狙いに最適
